added,product,batch,purity_pct,mass,result_date,report_url
2026-02-14,Thymulin 15mg,THYM01,99.51,15.79 mg,2025-12-18,https://verify.janoshik.com/tests/94026-Thymulin_CJRII8D4TF9P
2026-02-14,Ovagen 10mg,OVA01,97.75,11.09 mg,2026-01-16,https://verify.janoshik.com/tests/99285-Ovagen_SCVW1BC934EI
2026-02-12,Healing Blend 6mg/6mg,BPCTB08,,12.65 mg,2026-02-12,https://verify.janoshik.com/tests/106897-BPC157_TB500_Healing_Blend_R54P26FVZEYR
2026-02-11,BAM15 70mg Tablets,BAM01,,68.5 mg,2025-12-31,https://verify.janoshik.com/tests/95243-BAM15_3JVSE56KJ2E3
2026-02-11,5-Amino-1MQ Tablets,5AT01,,47.85 mg,2025-12-23,https://verify.janoshik.com/tests/94618-5Amino1MQ_BKIKE9IBPU1R
2026-02-11,Semax 10mg,SEM03,98.9,13.41 mg,2026-02-05,https://verify.janoshik.com/tests/105621-Semax_HF715WN3MZDE
2026-02-11,CJC-1295 no DAC 10mg,CJC02,99.77,12.72 mg,2026-02-05,https://verify.janoshik.com/tests/105144-CJC1295_no_DAC_AXFJMFK1HVZN
2026-02-10,Tirzepatide 10mg,TZ04-10,99.49,11.20 mg,2025-09-22,https://verify.janoshik.com/tests/79794-Tirzepatide_MCMDRSALEUR2
2026-02-09,BPC-157 Arginate 500mcg Tablets,ARG01,,542 mcg,2025-12-12,https://verify.janoshik.com/tests/93494-BC500_BPC157_Arginate_3DW917CES62T
2026-02-09,Clenbuterol HCL 40mcgs,CLEN01,,45.22 mcg,2025-12-23,https://janoshik.com/tests/94617-Clenbuterol_Z117RN95J6J8
2026-02-09,Telmisartan 40mg Tablets,TEL01,,40.35 mg,2025-12-30,https://janoshik.com/tests/95248-Telmisartan_8C5YL2SGJRRT
2026-02-05,Sermorelin 10mg,SER03,99.45,11.85 mg,2025-12-18,https://verify.janoshik.com/tests/94029-Sermorelin_5FSUJXR5I43K
2026-01-26,KLOW Blend 80mg,KLO03,,108.37 mg,2026-01-26,https://verify.janoshik.com/tests/102114-KLOW_Blend_HAYU8JDUPGI6
2026-01-26,HGH (400iu Kit),GGC33,97.44,38.88 ius,2026-01-26,https://verify.janoshik.com/tests/102115-Human_Growth_Hormone_G3A5RFTSAHFE
2026-01-26,Enclomiphene Citrate Tablets,202512-01,,13.18 mg,2025-12-31,https://verify.janoshik.com/tests/95249-Enclomiphene_125_mg_LS1CSDPWDKAJ
2026-01-26,MOTS-C 10mg,MOTS07,99.762,11.81 mg,2026-01-16,https://verify.janoshik.com/tests/99326-MOTSC_ULGB9TD5FEAN
2026-01-20,L-Carnitine 750mg/mL 10mL,LCAR02,,749.26 mg,2026-01-20,https://verify.janoshik.com/tests/97623-LCarnitine_2JUDACK3FHIV
2026-01-16,MOTS-C 40,MOTS06,99.84,45.98 mg,2026-01-16,https://verify.janoshik.com/tests/99284-MOTSC_M4UVHQUTPHI7
2026-01-16,Selank 12.5mg,SEL02,99.88,13.43 mg,2025-11-27,https://verify.janoshik.com/tests/90602-Selank_55IBCAJ9KUUL
2026-01-14,Human Menopausal Gonadotropin 75iu,HMG01,,241 mcg,2026-01-04,https://verify.janoshik.com/tests/95808-Human_Menopausal_Gonadotropin_hMG_ZQ3DS1XBZ732
2026-01-14,Tesamorelin 20mg,TES05,99.6,23.84 mg,2026-01-02,https://verify.janoshik.com/tests/95809-Tesamorelin_2A5LCGSEGMYK
2026-01-14,Healing Blend 10mg/10mg,BPCTB07,,22.54 mg,2026-01-02,https://verify.janoshik.com/tests/95807-BP10TB10_ABZRNVJMVH4E
2026-01-10,HGH (150iu kit),GGC31,97.55,15.93 ius,2025-12-12,https://janoshik.com/tests/92926-Human_Growth_Hormone_74B6TJYKA9CW
2026-01-10,HGH (270iu Kit),GGC30,96.05,27.65 ius,2025-12-10,https://janoshik.com/tests/92444-Human_Growth_Hormone_3WUIDJYGJQPT
2026-01-09,BPC-157 10mg,BPC08,99.72,12.53 mg,2025-10-21,https://janoshik.com/tests/84144-BPC157_FGSX2Z7KSHAQ
2026-01-07,GHK-Cu 50mg,GHK05,99.29,64.7 mg,2026-01-02,https://janoshik.com/tests/95969-GHKCu_BM7Q8ZK9M6ZF
